date,policy_regime_id,call_unc_boj_m,usdjpy_m,m2_yoy,m2_ref_avg_yoy,m2_old_avg_yoy,mb_yoy,boj_assets,tankan_mfg_di,tankan_nonmfg_di,m2_yoy_canonical
1996-05-31,RATE_BASED_PRE_ZIRP,,107.65,,,2.808,,,,,2.808
1996-06-28,RATE_BASED_PRE_ZIRP,,109.45,,,3.221,,,,,3.221
1996-07-31,RATE_BASED_PRE_ZIRP,,108.08,,,3.726,,,,,3.726
1996-08-30,RATE_BASED_PRE_ZIRP,,108.50,,,3.659,,,,,3.659
1996-09-30,RATE_BASED_PRE_ZIRP,,110.85,,,3.707,,,,,3.707
1996-10-31,RATE_BASED_PRE_ZIRP,,113.97,,,3.408,,,,,3.408
1996-11-29,RATE_BASED_PRE_ZIRP,,113.33,,,3.643,,,,,3.643
1996-12-30,RATE_BASED_PRE_ZIRP,,116.13,,,3.126,,,,,3.126
1997-01-31,RATE_BASED_PRE_ZIRP,,121.55,,,2.897,,,,,2.897
1997-02-28,RATE_BASED_PRE_ZIRP,,120.80,,,3.015,,,,,3.015
1997-03-31,RATE_BASED_PRE_ZIRP,,123.90,,,2.882,,,,,2.882
1997-04-30,RATE_BASED_PRE_ZIRP,,126.81,,,2.678,,,,,2.678
1997-05-30,RATE_BASED_PRE_ZIRP,,116.21,,,3.197,,,,,3.197
1997-06-30,RATE_BASED_PRE_ZIRP,,114.67,,,3.081,,,,,3.081
1997-07-31,RATE_BASED_PRE_ZIRP,,118.33,,,2.864,,,,,2.864
1997-08-29,RATE_BASED_PRE_ZIRP,,118.75,,,3.031,,,,,3.031
1997-09-30,RATE_BASED_PRE_ZIRP,,121.00,,,3.209,,,,,3.209
1997-10-31,RATE_BASED_PRE_ZIRP,,120.68,,,2.943,,,,,2.943
1997-11-28,RATE_BASED_PRE_ZIRP,,127.51,,,2.880,,,,,2.880
1997-12-30,RATE_BASED_PRE_ZIRP,,130.05,,,3.161,,,,,3.161
1998-01-30,RATE_BASED_PRE_ZIRP,0.44,125.38,,,3.779,,,,,3.779
1998-02-27,RATE_BASED_PRE_ZIRP,0.45,127.72,,,4.454,,,,,4.454
1998-03-31,RATE_BASED_PRE_ZIRP,0.39,132.16,,,5.003,,,,,5.003
1998-04-30,RATE_BASED_PRE_ZIRP,0.44,132.05,,,4.515,,,,,4.515
1998-05-29,RATE_BASED_PRE_ZIRP,0.45,138.91,,,3.631,,800652,,,3.631
1998-06-30,RATE_BASED_PRE_ZIRP,0.35,141.92,,,3.926,,771888,,,3.926
1998-07-31,RATE_BASED_PRE_ZIRP,0.41,142.51,,,3.434,,753964,,,3.434
1998-08-31,RATE_BASED_PRE_ZIRP,0.39,142.55,,,3.545,,724375,,,3.545
1998-09-30,RATE_BASED_PRE_ZIRP,0.25,133.90,,,3.808,,763742,,,3.808
1998-10-30,RATE_BASED_PRE_ZIRP,0.21,117.30,,,3.799,,783667,,,3.799
1998-11-30,RATE_BASED_PRE_ZIRP,0.23,123.24,,,3.874,,775368,,,3.874
1998-12-30,RATE_BASED_PRE_ZIRP,0.23,115.42,,,4.320,,883012,,,4.320
1999-01-29,RATE_BASED_PRE_ZIRP,0.24,116.36,,,3.905,,912382,,,3.905
1999-02-26,ZIRP_1,0.12,119.26,,,3.572,,797188,,,3.572
1999-03-31,ZIRP_1,0.04,120.10,,,3.433,,755897,,,3.433
1999-04-30,ZIRP_1,0.03,119.26,,,3.692,,797450,,,3.692
1999-05-31,ZIRP_1,0.03,120.88,,3.940,,,791152,,,3.940
1999-06-30,ZIRP_1,0.03,120.81,,4.087,,,744742,,,4.087
1999-07-30,ZIRP_1,0.03,115.19,,4.332,,,734211,,,4.332
1999-08-31,ZIRP_1,0.03,111.13,,3.961,,,686329,,,3.961
1999-09-30,ZIRP_1,0.03,106.80,,3.475,,,680224,,,3.475
1999-10-29,ZIRP_1,0.03,105.13,,3.283,,,688207,,,3.283
1999-11-30,ZIRP_1,0.02,102.43,,3.578,,,680064,,,3.578
1999-12-30,ZIRP_1,0.02,102.05,,2.891,,,841508,,,2.891
2000-01-31,ZIRP_1,0.02,107.15,,2.642,,,1113478,,,2.642
2000-02-29,ZIRP_1,0.28,109.17,,2.594,,,905251,,,2.594
2000-03-31,ZIRP_1,0.02,105.53,,2.095,,,941085,,,2.095
2000-04-28,ZIRP_1,0.02,106.36,,1.934,,,1062017,,,1.934
2000-05-31,ZIRP_1,0.02,106.44,,2.892,,,797289,,,2.892
2000-06-30,ZIRP_1,0.02,105.09,,2.198,,,838507,,,2.198
2000-07-31,ZIRP_1,0.02,109.63,,1.915,,,837194,,,1.915
2000-08-31,RATE_TRANSITION,0.25,106.47,,1.971,,,807840,,,1.971
2000-09-29,RATE_TRANSITION,0.25,107.59,,1.782,,,885391,,,1.782
2000-10-31,RATE_TRANSITION,0.25,108.99,,1.953,,,853390,,,1.953
2000-11-30,RATE_TRANSITION,0.25,111.28,,2.143,,,920988,,,2.143
2000-12-29,RATE_TRANSITION,0.25,114.62,,1.905,,,1054097,,,1.905
2001-01-31,RATE_TRANSITION,0.25,115.75,,1.978,,,1067962,,,1.978
