date,open,high,low,close,volume
2011-08-02,3463.564,3463.564,3409.935,3457.892,10547328800
2011-08-03,3426.665,3476.433,3420.98,3462.98,10060691200
2011-08-04,3469.786,3494.593,3462.344,3473.524,9395642400
2011-08-05,3374.547,3423.336,3357.108,3400.429,11845663200
2011-08-08,3358.377,3379.722,3201.074,3257.112,16112387200
2011-08-09,3166.637,3273.856,3123.154,3256.304,15244555200
2011-08-10,3308.799,3334.331,3290.025,3294.261,14195422400
2011-08-11,3234.276,3348.459,3231.048,3348.175,14194828800
2011-08-12,3366.344,3388.402,3361.43,3370.212,14504891200
2011-08-15,3378.013,3419.895,3370.05,3419.895,13953848000
2011-08-16,3423.581,3433.886,3385.312,3395.637,12750372000
2011-08-17,3389.335,3407.652,3376.539,3384.14,10615476800
2011-08-18,3383.378,3386.13,3321.945,3323.582,10645816800
2011-08-19,3263.708,3293.252,3258.508,3292.86,10283692000
2011-08-22,3293.281,3319.693,3252.951,3263.782,8854046400
2011-08-23,3274.339,3316.453,3263.807,3316.38,8964928000
2011-08-24,3331.531,3346.73,3302.343,3307.902,9996809600
2011-08-25,3314.869,3397.274,3309.364,3397.274,14691651200
2011-08-26,3383.265,3407.093,3374.494,3400.345,11371371200
2011-08-29,3377.472,3377.472,3350.654,3356.705,10936540800
2011-08-30,3377.483,3404.702,3334.054,3336.009,11097772800
2011-08-31,3336.624,3349.099,3302.947,3331.982,8777135200
2011-09-01,3336.381,3355.393,3302.588,3313.778,8184382400
2011-09-02,3307.083,3315.113,3259.726,3276.955,7649416000
2011-09-05,3249.609,3249.609,3202.646,3203.01,7847901600
2011-09-06,3182.41,3204.308,3165.302,3179.7,6920272000
2011-09-07,3194.134,3249.364,3189.092,3249.364,8703726400
2011-09-08,3259.938,3260.433,3219.748,3219.831,7925957600
2011-09-09,3227.91,3257.137,3194.88,3208.336,7022000800
2011-09-13,3165.2,3172.999,3142.473,3165.217,6907260800
2011-09-14,3174.305,3189.81,3120.966,3189.476,7515724800
2011-09-15,3191.412,3215.311,3185.787,3188.574,7899387200
2011-09-16,3202.563,3216.429,3188.032,3192.084,7047296000
2011-09-19,3176.888,3176.888,3128.649,3129.022,7042309600
2011-09-20,3122.693,3156.101,3109.696,3143.218,6682438800
2011-09-21,3144.041,3241.657,3131.418,3236.144,12426673600
2011-09-22,3208.575,3219.635,3139.07,3139.471,10829951200
2011-09-23,3089.195,3129.337,3075.692,3117.811,9562758400
2011-09-26,3096.713,3130.332,3048.823,3057.857,8489074400
2011-09-27,3081.323,3094.378,3052.285,3080.886,8010486400
2011-09-28,3097.833,3104.089,3030.703,3039.791,8078711200
2011-09-29,3021.198,3022.444,2979.473,2981.468,8702795200
2011-09-30,2987.428,3001.103,2955.896,2972.772,6897920800
2011-10-10,2980.448,2989.342,2943.518,2950.187,5967725600
2011-10-11,3021.647,3036.513,2914.308,2943.765,9054624000
2011-10-12,2929.724,3051.174,2909.394,3049.376,12944710400
2011-10-13,3042.171,3087.715,3034.073,3079.313,12894335200
2011-10-14,3071.53,3080.768,3039.942,3067.602,8984188800
2011-10-17,3073.489,3101.337,3064.11,3080.959,8729122400
2011-10-18,3060.25,3063.024,2989.018,2992.026,9591469600
2011-10-19,2998.209,3014.287,2974.363,2979.855,7646480000
2011-10-20,2964.466,2964.466,2878.55,2901.724,9047486400
2011-10-21,2900.416,2913.114,2868.382,2871.394,6880790400
2011-10-24,2877.941,2938.289,2845.999,2938.164,9772340800
2011-10-25,2934.433,3011.315,2922.836,3003.89,12964672000
2011-10-26,2987.822,3063.091,2983.681,3033.196,15552582400
2011-10-27,3038.972,3060.827,3026.448,3038.43,12028970400
2011-10-28,3076.415,3108.147,3068.396,3100.589,15987795200
2011-10-31,3096.793,3109.226,3078.954,3100.438,12821884800
2011-11-01,3074.058,3126.692,3067.523,3102.531,13160457600
2011-11-02,3056.823,3156.173,3047.444,3155.777,15748428800
2011-11-03,3167.057,3206.001,3163.821,3164.567,20868233600
2011-11-04,3187.357,3201.642,3166.056,3187.575,15400731200
2011-11-07,3176.46,3199.625,3159.813,3164.373,11712916000
2011-11-08,3170.202,3180.7,3137.358,3142.486,11731681600
2011-11-09,3152.302,3180.284,3120.268,3180.284,11980035200
2011-11-10,3145.426,3159.958,3126.975,3127.82,13073362400
2011-11-11,3132.148,3146.534,3112.064,3124.664,10381300800
2011-11-14,3148.97,3193.561,3148.97,3193.561,12825059200
2011-11-15,3191.022,3201.97,3181.926,3199.471,12300160000
2011-11-16,3200.334,3200.453,3103.232,3115.883,14426934400
2011-11-17,3116.231,3141.008,3103.696,3109.424,10148565600
2011-11-18,3089.151,3089.151,3027.884,3033.943,10980868800
2011-11-21,3033.235,3038.925,3006.659,3037.405,7564713600
2011-11-22,3014.986,3036.592,2997.795,3035.623,7717132800
2011-11-23,3039.515,3046.459,3006.836,3013.378,7537582400
2011-11-24,2990.479,3032.368,2975.958,3014.869,8097003200
2011-11-25,3011.013,3028.52,2985.614,2993.836,7080242400
2011-11-28,3000.39,3012.463,2980.508,2997.055,7022523200
2011-11-29,3020.804,3041.752,3006.431,3041.405,8473853600
2011-11-30,3034.018,3034.018,2905.629,2929.286,11177954400
2011-12-01,3012.215,3046.795,2988.342,2995.854,14177676800
2011-12-02,2981.094,2983.006,2935.781,2951.963,8701981600
2011-12-05,2950.951,2950.951,2883.145,2887.603,7773128800
2011-12-06,2879.332,2893.646,2857.921,2884.757,6625065600
2011-12-07,2884.296,2905.211,2874.662,2896.423,5996799600
2011-12-08,2891.765,2920.22,2852.131,2894.187,7372001600
2011-12-09,2873.179,2896.345,2860.08,2868.239,6018637200
2011-12-12,2864.013,2870.261,2834.048,2836.174,5594368000
2011-12-13,2823.223,2823.717,2752.728,2757.904,8352900800
2011-12-14,2749.524,2770.766,2715.042,2720.681,6314433600
2011-12-15,2703.752,2703.752,2653.26,2654.353,8341980800
2011-12-16,2652.766,2718.623,2645.7,2718.427,8227110400
2011-12-19,2698.988,2719.5,2647.099,2717.108,8491609600
2011-12-20,2708.388,2747.469,2704.092,2708.549,8004497600
2011-12-21,2728.922,2738.727,2654.832,2656.214,7464397600
2011-12-22,2638.161,2662.434,2576.776,2641.151,8911222400
2011-12-23,2634.436,2686.595,2626.27,2662.012,7877155200
2011-12-26,2651.456,2678.1,2638.633,2639.32,6579054400
2011-12-27,2633.843,2639.013,2586.254,2589.547,6776449600
2011-12-28,2576.149,2586.245,2531.978,2584.89,7413023200
2011-12-29,2572.663,2601.369,2567.357,2587.587,6683389200
2011-12-30,2594.048,2630.159,2594.048,2629.347,7622774400
2012-01-04,2646.829,2653.253,2571.951,2571.951,7580506400
2012-01-05,2560.068,2570.838,2510.126,2513.699,8972870400
2012-01-06,2507.858,2527.247,2475.435,2527.247,7704523200
2012-01-09,2527.413,2619.865,2504.422,2619.638,11422284000
2012-01-10,2617.544,2715.429,2612.555,2713.529,16947196800
