year,value,variable,country,unit,source_note
1970,18.8,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1971,19.2,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1972,19.3,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1973,19.4,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1974,18.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1975,17.1,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1976,16.3,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1977,15.5,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1978,14.9,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1979,14.2,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1980,13.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1981,13.0,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1982,12.8,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1983,12.7,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1984,12.5,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1985,11.9,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1986,11.4,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1987,11.1,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1988,10.8,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1989,10.2,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1990,10.0,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1991,9.9,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1992,9.8,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1993,9.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1994,10.0,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1995,9.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1996,9.7,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1997,9.5,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1998,9.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
1999,9.4,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2000,9.5,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2001,9.3,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2002,9.2,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2003,8.9,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2004,8.8,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2005,8.4,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2006,8.7,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2007,8.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2008,8.7,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2009,8.5,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2010,8.5,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2011,8.3,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2012,8.2,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2013,8.2,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2014,8.0,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2015,8.0,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2016,7.8,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2017,7.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2018,7.4,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2019,7.0,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2020,6.8,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2021,6.6,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2022,6.3,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2023,6.0,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
2024,5.7,birth_rate,jp,pct,e-Stat 人口動態 0003411595 1899+
