year,value,variable,country,unit,source_note
1970,,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1971,6.421609942086184,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1972,4.899432135128635,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1973,11.553685748529476,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1974,23.101237134045892,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1975,11.929787572823848,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1976,9.379098141192697,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1977,8.139844067451042,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1978,4.210276158586278,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1979,3.7591931350614174,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1980,7.788556444887301,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1981,4.916052157303415,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1982,2.737517501096505,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1983,1.8838746827644712,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1984,2.265005397596896,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1985,2.058224101987636,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1986,0.6040339675583307,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1987,0.11130219263371377,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1988,0.6628894082796377,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1989,2.2905921241871203,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1990,3.0603702123173093,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1991,3.2834135985225292,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1992,1.7366641434020023,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1993,1.2590641690132427,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
1994,0.6867339914556773,cpi_yoy,JP,pct,统计局 2025base CPI all 1970+ annual avg yoy
