year,value,variable,country,unit,transform_id
1955,0.013888888888888888,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1956,0.027777777777777776,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1957,0.041666666666666664,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1958,0.05555555555555555,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1959,0.06944444444444445,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1960,0.08333333333333333,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1961,0.09722222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1962,0.1111111111111111,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1963,0.125,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1964,0.1388888888888889,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1965,0.1527777777777778,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1966,0.16666666666666666,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1967,0.18055555555555555,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1968,0.19444444444444445,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1969,0.20833333333333334,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1970,0.2222222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1971,0.2361111111111111,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1972,0.25,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1973,0.2638888888888889,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1974,0.2777777777777778,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1975,0.2916666666666667,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1976,0.3055555555555556,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1977,0.3194444444444444,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1978,0.3333333333333333,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1979,0.3472222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1980,0.3611111111111111,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1981,0.375,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1982,0.3888888888888889,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1983,0.4027777777777778,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1984,0.4166666666666667,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1985,0.4305555555555556,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1986,0.4444444444444444,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1987,0.4583333333333333,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1988,0.4722222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1989,0.4861111111111111,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1990,0.5,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1991,0.5138888888888888,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1992,0.5277777777777778,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1993,0.5416666666666666,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1994,0.5555555555555556,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1995,0.5694444444444444,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1996,0.6111111111111112,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1997,0.6944444444444444,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1998,0.6527777777777778,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
1999,0.625,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2000,0.6805555555555556,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2001,0.6666666666666666,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2002,0.6388888888888888,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2003,0.7222222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2004,0.7638888888888888,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2005,0.7916666666666666,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2006,0.875,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2007,0.8472222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2008,0.8611111111111112,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2009,0.5972222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2010,0.7083333333333334,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2011,0.7777777777777778,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2012,0.75,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2013,0.7361111111111112,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2014,0.8194444444444444,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2015,0.8333333333333334,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2016,0.8888888888888888,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2017,0.9166666666666666,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2018,0.9444444444444444,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2019,0.9583333333333334,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2020,0.8055555555555556,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2021,0.9027777777777778,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2022,0.9305555555555556,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2023,0.9722222222222222,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2024,0.9861111111111112,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2025,1.0,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
2026,0.5833333333333334,wage_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-wage_yoy
