year,value,source_note
1975,-8.9,MLIT 公示地価 全国住宅 変動率 1975-2026
1976,0.8,MLIT 公示地価 全国住宅 変動率 1975-2026
1977,1.9,MLIT 公示地価 全国住宅 変動率 1975-2026
1978,3.3,MLIT 公示地価 全国住宅 変動率 1975-2026
1979,6.5,MLIT 公示地価 全国住宅 変動率 1975-2026
1980,12.7,MLIT 公示地価 全国住宅 変動率 1975-2026
1981,11.7,MLIT 公示地価 全国住宅 変動率 1975-2026
1982,8.3,MLIT 公示地価 全国住宅 変動率 1975-2026
1983,5.1,MLIT 公示地価 全国住宅 変動率 1975-2026
1984,3.0,MLIT 公示地価 全国住宅 変動率 1975-2026
1985,2.2,MLIT 公示地価 全国住宅 変動率 1975-2026
1986,2.2,MLIT 公示地価 全国住宅 変動率 1975-2026
1987,7.6,MLIT 公示地価 全国住宅 変動率 1975-2026
1988,25.0,MLIT 公示地価 全国住宅 変動率 1975-2026
1989,7.9,MLIT 公示地価 全国住宅 変動率 1975-2026
1990,17.0,MLIT 公示地価 全国住宅 変動率 1975-2026
1991,10.7,MLIT 公示地価 全国住宅 変動率 1975-2026
1992,-5.6,MLIT 公示地価 全国住宅 変動率 1975-2026
1993,-8.7,MLIT 公示地価 全国住宅 変動率 1975-2026
1994,-4.7,MLIT 公示地価 全国住宅 変動率 1975-2026
1995,-1.6,MLIT 公示地価 全国住宅 変動率 1975-2026
1996,-2.6,MLIT 公示地価 全国住宅 変動率 1975-2026
1997,-1.6,MLIT 公示地価 全国住宅 変動率 1975-2026
1998,-1.4,MLIT 公示地価 全国住宅 変動率 1975-2026
1999,-3.8,MLIT 公示地価 全国住宅 変動率 1975-2026
2000,-4.1,MLIT 公示地価 全国住宅 変動率 1975-2026
2001,-4.2,MLIT 公示地価 全国住宅 変動率 1975-2026
2002,-5.2,MLIT 公示地価 全国住宅 変動率 1975-2026
2003,-5.8,MLIT 公示地価 全国住宅 変動率 1975-2026
2004,-5.7,MLIT 公示地価 全国住宅 変動率 1975-2026
2005,-4.6,MLIT 公示地価 全国住宅 変動率 1975-2026
2006,-2.7,MLIT 公示地価 全国住宅 変動率 1975-2026
2007,0.1,MLIT 公示地価 全国住宅 変動率 1975-2026
2008,1.3,MLIT 公示地価 全国住宅 変動率 1975-2026
2009,-3.2,MLIT 公示地価 全国住宅 変動率 1975-2026
2010,-4.2,MLIT 公示地価 全国住宅 変動率 1975-2026
2011,-2.7,MLIT 公示地価 全国住宅 変動率 1975-2026
2012,-2.3,MLIT 公示地価 全国住宅 変動率 1975-2026
2013,-1.6,MLIT 公示地価 全国住宅 変動率 1975-2026
2014,-0.6,MLIT 公示地価 全国住宅 変動率 1975-2026
2015,-0.4,MLIT 公示地価 全国住宅 変動率 1975-2026
2016,-0.2,MLIT 公示地価 全国住宅 変動率 1975-2026
2017,0.0,MLIT 公示地価 全国住宅 変動率 1975-2026
2018,0.3,MLIT 公示地価 全国住宅 変動率 1975-2026
2019,0.6,MLIT 公示地価 全国住宅 変動率 1975-2026
2020,0.8,MLIT 公示地価 全国住宅 変動率 1975-2026
2021,-0.4,MLIT 公示地価 全国住宅 変動率 1975-2026
2022,0.5,MLIT 公示地価 全国住宅 変動率 1975-2026
2023,1.4,MLIT 公示地価 全国住宅 変動率 1975-2026
2024,2.0,MLIT 公示地価 全国住宅 変動率 1975-2026
2025,2.1,MLIT 公示地価 全国住宅 変動率 1975-2026
