quarter,value,variable,country,unit,source_note
2013-Q2,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2013-Q3,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2013-Q4,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2014-Q1,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2014-Q2,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2014-Q3,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2014-Q4,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2015-Q1,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2015-Q2,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2015-Q3,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2015-Q4,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2016-Q1,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2016-Q2,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2016-Q3,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2016-Q4,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2017-Q1,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2017-Q2,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
